ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	86181	86181	86181	86181	86181	86181	86181
2	86182	86182	86182	86182	86182	86182	86182
3	86183	86183	86183	86183	86183	86183	86183
4	86184	86184	86184	86184	86184	86184	86184
5	86185	86185	86185	86185	86185	86185	86185
6	86186	86186	86186	86186	86186	86186	86186
7	86187	86187	86187	86187	86187	86187	86187
8	86188	86188	86188	86188	86188	86188	86188
9	86189	86189	86189	86189	86189	86189	86189
10	86190	86190	86190	86190	86190	86190	86190
11	86191	86191	86191	86191	86191	86191	86191
12	86192	86192	86192	86192	86192	86192	86192
13	86193	86193	86193	86193	86193	86193	86193
14	86194	86194	86194	86194	86194	86194	86194
15	86195	86195	86195	86195	86195	86195	86195
16	86196	86196	86196	86196	86196	86196	86196
17	86197	86197	86197	86197	86197	86197	86197
18	86198	86198	86198	86198	86198	86198	86198
19	86199	86199	86199	86199	86199	86199	86199
20	86200	86200	86200	86200	86200	86200	86200
