ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	44361	44361	44361	44361	44361	44361	44361
2	44362	44362	44362	44362	44362	44362	44362
3	44363	44363	44363	44363	44363	44363	44363
4	44364	44364	44364	44364	44364	44364	44364
5	44365	44365	44365	44365	44365	44365	44365
6	44366	44366	44366	44366	44366	44366	44366
7	44367	44367	44367	44367	44367	44367	44367
8	44368	44368	44368	44368	44368	44368	44368
9	44369	44369	44369	44369	44369	44369	44369
10	44370	44370	44370	44370	44370	44370	44370
11	44371	44371	44371	44371	44371	44371	44371
12	44372	44372	44372	44372	44372	44372	44372
13	44373	44373	44373	44373	44373	44373	44373
14	44374	44374	44374	44374	44374	44374	44374
15	44375	44375	44375	44375	44375	44375	44375
16	44376	44376	44376	44376	44376	44376	44376
17	44377	44377	44377	44377	44377	44377	44377
18	44378	44378	44378	44378	44378	44378	44378
19	44379	44379	44379	44379	44379	44379	44379
20	44380	44380	44380	44380	44380	44380	44380
