ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	22601	22601	22601	22601	22601	22601	22601
2	22602	22602	22602	22602	22602	22602	22602
3	22603	22603	22603	22603	22603	22603	22603
4	22604	22604	22604	22604	22604	22604	22604
5	22605	22605	22605	22605	22605	22605	22605
6	22606	22606	22606	22606	22606	22606	22606
7	22607	22607	22607	22607	22607	22607	22607
8	22608	22608	22608	22608	22608	22608	22608
9	22609	22609	22609	22609	22609	22609	22609
10	22610	22610	22610	22610	22610	22610	22610
11	22611	22611	22611	22611	22611	22611	22611
12	22612	22612	22612	22612	22612	22612	22612
13	22613	22613	22613	22613	22613	22613	22613
14	22614	22614	22614	22614	22614	22614	22614
15	22615	22615	22615	22615	22615	22615	22615
16	22616	22616	22616	22616	22616	22616	22616
17	22617	22617	22617	22617	22617	22617	22617
18	22618	22618	22618	22618	22618	22618	22618
19	22619	22619	22619	22619	22619	22619	22619
20	22620	22620	22620	22620	22620	22620	22620
