ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	66701	66701	66701	66701	66701	66701	66701
2	66702	66702	66702	66702	66702	66702	66702
3	66703	66703	66703	66703	66703	66703	66703
4	66704	66704	66704	66704	66704	66704	66704
5	66705	66705	66705	66705	66705	66705	66705
6	66706	66706	66706	66706	66706	66706	66706
7	66707	66707	66707	66707	66707	66707	66707
8	66708	66708	66708	66708	66708	66708	66708
9	66709	66709	66709	66709	66709	66709	66709
10	66710	66710	66710	66710	66710	66710	66710
11	66711	66711	66711	66711	66711	66711	66711
12	66712	66712	66712	66712	66712	66712	66712
13	66713	66713	66713	66713	66713	66713	66713
14	66714	66714	66714	66714	66714	66714	66714
15	66715	66715	66715	66715	66715	66715	66715
16	66716	66716	66716	66716	66716	66716	66716
17	66717	66717	66717	66717	66717	66717	66717
18	66718	66718	66718	66718	66718	66718	66718
19	66719	66719	66719	66719	66719	66719	66719
20	66720	66720	66720	66720	66720	66720	66720
