ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	32601	32601	32601	32601	32601	32601	32601
2	32602	32602	32602	32602	32602	32602	32602
3	32603	32603	32603	32603	32603	32603	32603
4	32604	32604	32604	32604	32604	32604	32604
5	32605	32605	32605	32605	32605	32605	32605
6	32606	32606	32606	32606	32606	32606	32606
7	32607	32607	32607	32607	32607	32607	32607
8	32608	32608	32608	32608	32608	32608	32608
9	32609	32609	32609	32609	32609	32609	32609
10	32610	32610	32610	32610	32610	32610	32610
11	32611	32611	32611	32611	32611	32611	32611
12	32612	32612	32612	32612	32612	32612	32612
13	32613	32613	32613	32613	32613	32613	32613
14	32614	32614	32614	32614	32614	32614	32614
15	32615	32615	32615	32615	32615	32615	32615
16	32616	32616	32616	32616	32616	32616	32616
17	32617	32617	32617	32617	32617	32617	32617
18	32618	32618	32618	32618	32618	32618	32618
19	32619	32619	32619	32619	32619	32619	32619
20	32620	32620	32620	32620	32620	32620	32620
