ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	50021	50021	50021	50021	50021	50021	50021
2	50022	50022	50022	50022	50022	50022	50022
3	50023	50023	50023	50023	50023	50023	50023
4	50024	50024	50024	50024	50024	50024	50024
5	50025	50025	50025	50025	50025	50025	50025
6	50026	50026	50026	50026	50026	50026	50026
7	50027	50027	50027	50027	50027	50027	50027
8	50028	50028	50028	50028	50028	50028	50028
9	50029	50029	50029	50029	50029	50029	50029
10	50030	50030	50030	50030	50030	50030	50030
11	50031	50031	50031	50031	50031	50031	50031
12	50032	50032	50032	50032	50032	50032	50032
13	50033	50033	50033	50033	50033	50033	50033
14	50034	50034	50034	50034	50034	50034	50034
15	50035	50035	50035	50035	50035	50035	50035
16	50036	50036	50036	50036	50036	50036	50036
17	50037	50037	50037	50037	50037	50037	50037
18	50038	50038	50038	50038	50038	50038	50038
19	50039	50039	50039	50039	50039	50039	50039
20	50040	50040	50040	50040	50040	50040	50040
