ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	192061	192061	192061	192061	192061	192061	192061
2	192062	192062	192062	192062	192062	192062	192062
3	192063	192063	192063	192063	192063	192063	192063
4	192064	192064	192064	192064	192064	192064	192064
5	192065	192065	192065	192065	192065	192065	192065
6	192066	192066	192066	192066	192066	192066	192066
7	192067	192067	192067	192067	192067	192067	192067
8	192068	192068	192068	192068	192068	192068	192068
9	192069	192069	192069	192069	192069	192069	192069
10	192070	192070	192070	192070	192070	192070	192070
11	192071	192071	192071	192071	192071	192071	192071
12	192072	192072	192072	192072	192072	192072	192072
13	192073	192073	192073	192073	192073	192073	192073
14	192074	192074	192074	192074	192074	192074	192074
15	192075	192075	192075	192075	192075	192075	192075
16	192076	192076	192076	192076	192076	192076	192076
17	192077	192077	192077	192077	192077	192077	192077
18	192078	192078	192078	192078	192078	192078	192078
19	192079	192079	192079	192079	192079	192079	192079
20	192080	192080	192080	192080	192080	192080	192080
