ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	157661	157661	157661	157661	157661	157661	157661
2	157662	157662	157662	157662	157662	157662	157662
3	157663	157663	157663	157663	157663	157663	157663
4	157664	157664	157664	157664	157664	157664	157664
5	157665	157665	157665	157665	157665	157665	157665
6	157666	157666	157666	157666	157666	157666	157666
7	157667	157667	157667	157667	157667	157667	157667
8	157668	157668	157668	157668	157668	157668	157668
9	157669	157669	157669	157669	157669	157669	157669
10	157670	157670	157670	157670	157670	157670	157670
11	157671	157671	157671	157671	157671	157671	157671
12	157672	157672	157672	157672	157672	157672	157672
13	157673	157673	157673	157673	157673	157673	157673
14	157674	157674	157674	157674	157674	157674	157674
15	157675	157675	157675	157675	157675	157675	157675
16	157676	157676	157676	157676	157676	157676	157676
17	157677	157677	157677	157677	157677	157677	157677
18	157678	157678	157678	157678	157678	157678	157678
19	157679	157679	157679	157679	157679	157679	157679
20	157680	157680	157680	157680	157680	157680	157680
