ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	45541	45541	45541	45541	45541	45541	45541
2	45542	45542	45542	45542	45542	45542	45542
3	45543	45543	45543	45543	45543	45543	45543
4	45544	45544	45544	45544	45544	45544	45544
5	45545	45545	45545	45545	45545	45545	45545
6	45546	45546	45546	45546	45546	45546	45546
7	45547	45547	45547	45547	45547	45547	45547
8	45548	45548	45548	45548	45548	45548	45548
9	45549	45549	45549	45549	45549	45549	45549
10	45550	45550	45550	45550	45550	45550	45550
11	45551	45551	45551	45551	45551	45551	45551
12	45552	45552	45552	45552	45552	45552	45552
13	45553	45553	45553	45553	45553	45553	45553
14	45554	45554	45554	45554	45554	45554	45554
15	45555	45555	45555	45555	45555	45555	45555
16	45556	45556	45556	45556	45556	45556	45556
17	45557	45557	45557	45557	45557	45557	45557
18	45558	45558	45558	45558	45558	45558	45558
19	45559	45559	45559	45559	45559	45559	45559
20	45560	45560	45560	45560	45560	45560	45560
