ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	17901	17901	17901	17901	17901	17901	17901
2	17902	17902	17902	17902	17902	17902	17902
3	17903	17903	17903	17903	17903	17903	17903
4	17904	17904	17904	17904	17904	17904	17904
5	17905	17905	17905	17905	17905	17905	17905
6	17906	17906	17906	17906	17906	17906	17906
7	17907	17907	17907	17907	17907	17907	17907
8	17908	17908	17908	17908	17908	17908	17908
9	17909	17909	17909	17909	17909	17909	17909
10	17910	17910	17910	17910	17910	17910	17910
11	17911	17911	17911	17911	17911	17911	17911
12	17912	17912	17912	17912	17912	17912	17912
13	17913	17913	17913	17913	17913	17913	17913
14	17914	17914	17914	17914	17914	17914	17914
15	17915	17915	17915	17915	17915	17915	17915
16	17916	17916	17916	17916	17916	17916	17916
17	17917	17917	17917	17917	17917	17917	17917
18	17918	17918	17918	17918	17918	17918	17918
19	17919	17919	17919	17919	17919	17919	17919
20	17920	17920	17920	17920	17920	17920	17920
