ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	51561	51561	51561	51561	51561	51561	51561
2	51562	51562	51562	51562	51562	51562	51562
3	51563	51563	51563	51563	51563	51563	51563
4	51564	51564	51564	51564	51564	51564	51564
5	51565	51565	51565	51565	51565	51565	51565
6	51566	51566	51566	51566	51566	51566	51566
7	51567	51567	51567	51567	51567	51567	51567
8	51568	51568	51568	51568	51568	51568	51568
9	51569	51569	51569	51569	51569	51569	51569
10	51570	51570	51570	51570	51570	51570	51570
11	51571	51571	51571	51571	51571	51571	51571
12	51572	51572	51572	51572	51572	51572	51572
13	51573	51573	51573	51573	51573	51573	51573
14	51574	51574	51574	51574	51574	51574	51574
15	51575	51575	51575	51575	51575	51575	51575
16	51576	51576	51576	51576	51576	51576	51576
17	51577	51577	51577	51577	51577	51577	51577
18	51578	51578	51578	51578	51578	51578	51578
19	51579	51579	51579	51579	51579	51579	51579
20	51580	51580	51580	51580	51580	51580	51580
