ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	2861	2861	2861	2861	2861	2861	2861
2	2862	2862	2862	2862	2862	2862	2862
3	2863	2863	2863	2863	2863	2863	2863
4	2864	2864	2864	2864	2864	2864	2864
5	2865	2865	2865	2865	2865	2865	2865
6	2866	2866	2866	2866	2866	2866	2866
7	2867	2867	2867	2867	2867	2867	2867
8	2868	2868	2868	2868	2868	2868	2868
9	2869	2869	2869	2869	2869	2869	2869
10	2870	2870	2870	2870	2870	2870	2870
11	2871	2871	2871	2871	2871	2871	2871
12	2872	2872	2872	2872	2872	2872	2872
13	2873	2873	2873	2873	2873	2873	2873
14	2874	2874	2874	2874	2874	2874	2874
15	2875	2875	2875	2875	2875	2875	2875
16	2876	2876	2876	2876	2876	2876	2876
17	2877	2877	2877	2877	2877	2877	2877
18	2878	2878	2878	2878	2878	2878	2878
19	2879	2879	2879	2879	2879	2879	2879
20	2880	2880	2880	2880	2880	2880	2880
