ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	71001	71001	71001	71001	71001	71001	71001
2	71002	71002	71002	71002	71002	71002	71002
3	71003	71003	71003	71003	71003	71003	71003
4	71004	71004	71004	71004	71004	71004	71004
5	71005	71005	71005	71005	71005	71005	71005
6	71006	71006	71006	71006	71006	71006	71006
7	71007	71007	71007	71007	71007	71007	71007
8	71008	71008	71008	71008	71008	71008	71008
9	71009	71009	71009	71009	71009	71009	71009
10	71010	71010	71010	71010	71010	71010	71010
11	71011	71011	71011	71011	71011	71011	71011
12	71012	71012	71012	71012	71012	71012	71012
13	71013	71013	71013	71013	71013	71013	71013
14	71014	71014	71014	71014	71014	71014	71014
15	71015	71015	71015	71015	71015	71015	71015
16	71016	71016	71016	71016	71016	71016	71016
17	71017	71017	71017	71017	71017	71017	71017
18	71018	71018	71018	71018	71018	71018	71018
19	71019	71019	71019	71019	71019	71019	71019
20	71020	71020	71020	71020	71020	71020	71020
