ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	24681	24681	24681	24681	24681	24681	24681
2	24682	24682	24682	24682	24682	24682	24682
3	24683	24683	24683	24683	24683	24683	24683
4	24684	24684	24684	24684	24684	24684	24684
5	24685	24685	24685	24685	24685	24685	24685
6	24686	24686	24686	24686	24686	24686	24686
7	24687	24687	24687	24687	24687	24687	24687
8	24688	24688	24688	24688	24688	24688	24688
9	24689	24689	24689	24689	24689	24689	24689
10	24690	24690	24690	24690	24690	24690	24690
11	24691	24691	24691	24691	24691	24691	24691
12	24692	24692	24692	24692	24692	24692	24692
13	24693	24693	24693	24693	24693	24693	24693
14	24694	24694	24694	24694	24694	24694	24694
15	24695	24695	24695	24695	24695	24695	24695
16	24696	24696	24696	24696	24696	24696	24696
17	24697	24697	24697	24697	24697	24697	24697
18	24698	24698	24698	24698	24698	24698	24698
19	24699	24699	24699	24699	24699	24699	24699
20	24700	24700	24700	24700	24700	24700	24700
