ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	152281	152281	152281	152281	152281	152281	152281
2	152282	152282	152282	152282	152282	152282	152282
3	152283	152283	152283	152283	152283	152283	152283
4	152284	152284	152284	152284	152284	152284	152284
5	152285	152285	152285	152285	152285	152285	152285
6	152286	152286	152286	152286	152286	152286	152286
7	152287	152287	152287	152287	152287	152287	152287
8	152288	152288	152288	152288	152288	152288	152288
9	152289	152289	152289	152289	152289	152289	152289
10	152290	152290	152290	152290	152290	152290	152290
11	152291	152291	152291	152291	152291	152291	152291
12	152292	152292	152292	152292	152292	152292	152292
13	152293	152293	152293	152293	152293	152293	152293
14	152294	152294	152294	152294	152294	152294	152294
15	152295	152295	152295	152295	152295	152295	152295
16	152296	152296	152296	152296	152296	152296	152296
17	152297	152297	152297	152297	152297	152297	152297
18	152298	152298	152298	152298	152298	152298	152298
19	152299	152299	152299	152299	152299	152299	152299
20	152300	152300	152300	152300	152300	152300	152300
