ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	109901	109901	109901	109901	109901	109901	109901
2	109902	109902	109902	109902	109902	109902	109902
3	109903	109903	109903	109903	109903	109903	109903
4	109904	109904	109904	109904	109904	109904	109904
5	109905	109905	109905	109905	109905	109905	109905
6	109906	109906	109906	109906	109906	109906	109906
7	109907	109907	109907	109907	109907	109907	109907
8	109908	109908	109908	109908	109908	109908	109908
9	109909	109909	109909	109909	109909	109909	109909
10	109910	109910	109910	109910	109910	109910	109910
11	109911	109911	109911	109911	109911	109911	109911
12	109912	109912	109912	109912	109912	109912	109912
13	109913	109913	109913	109913	109913	109913	109913
14	109914	109914	109914	109914	109914	109914	109914
15	109915	109915	109915	109915	109915	109915	109915
16	109916	109916	109916	109916	109916	109916	109916
17	109917	109917	109917	109917	109917	109917	109917
18	109918	109918	109918	109918	109918	109918	109918
19	109919	109919	109919	109919	109919	109919	109919
20	109920	109920	109920	109920	109920	109920	109920
