ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	103141	103141	103141	103141	103141	103141	103141
2	103142	103142	103142	103142	103142	103142	103142
3	103143	103143	103143	103143	103143	103143	103143
4	103144	103144	103144	103144	103144	103144	103144
5	103145	103145	103145	103145	103145	103145	103145
6	103146	103146	103146	103146	103146	103146	103146
7	103147	103147	103147	103147	103147	103147	103147
8	103148	103148	103148	103148	103148	103148	103148
9	103149	103149	103149	103149	103149	103149	103149
10	103150	103150	103150	103150	103150	103150	103150
11	103151	103151	103151	103151	103151	103151	103151
12	103152	103152	103152	103152	103152	103152	103152
13	103153	103153	103153	103153	103153	103153	103153
14	103154	103154	103154	103154	103154	103154	103154
15	103155	103155	103155	103155	103155	103155	103155
16	103156	103156	103156	103156	103156	103156	103156
17	103157	103157	103157	103157	103157	103157	103157
18	103158	103158	103158	103158	103158	103158	103158
19	103159	103159	103159	103159	103159	103159	103159
20	103160	103160	103160	103160	103160	103160	103160
