ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	186501	186501	186501	186501	186501	186501	186501
2	186502	186502	186502	186502	186502	186502	186502
3	186503	186503	186503	186503	186503	186503	186503
4	186504	186504	186504	186504	186504	186504	186504
5	186505	186505	186505	186505	186505	186505	186505
6	186506	186506	186506	186506	186506	186506	186506
7	186507	186507	186507	186507	186507	186507	186507
8	186508	186508	186508	186508	186508	186508	186508
9	186509	186509	186509	186509	186509	186509	186509
10	186510	186510	186510	186510	186510	186510	186510
11	186511	186511	186511	186511	186511	186511	186511
12	186512	186512	186512	186512	186512	186512	186512
13	186513	186513	186513	186513	186513	186513	186513
14	186514	186514	186514	186514	186514	186514	186514
15	186515	186515	186515	186515	186515	186515	186515
16	186516	186516	186516	186516	186516	186516	186516
17	186517	186517	186517	186517	186517	186517	186517
18	186518	186518	186518	186518	186518	186518	186518
19	186519	186519	186519	186519	186519	186519	186519
20	186520	186520	186520	186520	186520	186520	186520
