ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	32441	32441	32441	32441	32441	32441	32441
2	32442	32442	32442	32442	32442	32442	32442
3	32443	32443	32443	32443	32443	32443	32443
4	32444	32444	32444	32444	32444	32444	32444
5	32445	32445	32445	32445	32445	32445	32445
6	32446	32446	32446	32446	32446	32446	32446
7	32447	32447	32447	32447	32447	32447	32447
8	32448	32448	32448	32448	32448	32448	32448
9	32449	32449	32449	32449	32449	32449	32449
10	32450	32450	32450	32450	32450	32450	32450
11	32451	32451	32451	32451	32451	32451	32451
12	32452	32452	32452	32452	32452	32452	32452
13	32453	32453	32453	32453	32453	32453	32453
14	32454	32454	32454	32454	32454	32454	32454
15	32455	32455	32455	32455	32455	32455	32455
16	32456	32456	32456	32456	32456	32456	32456
17	32457	32457	32457	32457	32457	32457	32457
18	32458	32458	32458	32458	32458	32458	32458
19	32459	32459	32459	32459	32459	32459	32459
20	32460	32460	32460	32460	32460	32460	32460
