ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	120561	120561	120561	120561	120561	120561	120561
2	120562	120562	120562	120562	120562	120562	120562
3	120563	120563	120563	120563	120563	120563	120563
4	120564	120564	120564	120564	120564	120564	120564
5	120565	120565	120565	120565	120565	120565	120565
6	120566	120566	120566	120566	120566	120566	120566
7	120567	120567	120567	120567	120567	120567	120567
8	120568	120568	120568	120568	120568	120568	120568
9	120569	120569	120569	120569	120569	120569	120569
10	120570	120570	120570	120570	120570	120570	120570
11	120571	120571	120571	120571	120571	120571	120571
12	120572	120572	120572	120572	120572	120572	120572
13	120573	120573	120573	120573	120573	120573	120573
14	120574	120574	120574	120574	120574	120574	120574
15	120575	120575	120575	120575	120575	120575	120575
16	120576	120576	120576	120576	120576	120576	120576
17	120577	120577	120577	120577	120577	120577	120577
18	120578	120578	120578	120578	120578	120578	120578
19	120579	120579	120579	120579	120579	120579	120579
20	120580	120580	120580	120580	120580	120580	120580
