ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	28261	28261	28261	28261	28261	28261	28261
2	28262	28262	28262	28262	28262	28262	28262
3	28263	28263	28263	28263	28263	28263	28263
4	28264	28264	28264	28264	28264	28264	28264
5	28265	28265	28265	28265	28265	28265	28265
6	28266	28266	28266	28266	28266	28266	28266
7	28267	28267	28267	28267	28267	28267	28267
8	28268	28268	28268	28268	28268	28268	28268
9	28269	28269	28269	28269	28269	28269	28269
10	28270	28270	28270	28270	28270	28270	28270
11	28271	28271	28271	28271	28271	28271	28271
12	28272	28272	28272	28272	28272	28272	28272
13	28273	28273	28273	28273	28273	28273	28273
14	28274	28274	28274	28274	28274	28274	28274
15	28275	28275	28275	28275	28275	28275	28275
16	28276	28276	28276	28276	28276	28276	28276
17	28277	28277	28277	28277	28277	28277	28277
18	28278	28278	28278	28278	28278	28278	28278
19	28279	28279	28279	28279	28279	28279	28279
20	28280	28280	28280	28280	28280	28280	28280
