ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	99401	99401	99401	99401	99401	99401	99401
2	99402	99402	99402	99402	99402	99402	99402
3	99403	99403	99403	99403	99403	99403	99403
4	99404	99404	99404	99404	99404	99404	99404
5	99405	99405	99405	99405	99405	99405	99405
6	99406	99406	99406	99406	99406	99406	99406
7	99407	99407	99407	99407	99407	99407	99407
8	99408	99408	99408	99408	99408	99408	99408
9	99409	99409	99409	99409	99409	99409	99409
10	99410	99410	99410	99410	99410	99410	99410
11	99411	99411	99411	99411	99411	99411	99411
12	99412	99412	99412	99412	99412	99412	99412
13	99413	99413	99413	99413	99413	99413	99413
14	99414	99414	99414	99414	99414	99414	99414
15	99415	99415	99415	99415	99415	99415	99415
16	99416	99416	99416	99416	99416	99416	99416
17	99417	99417	99417	99417	99417	99417	99417
18	99418	99418	99418	99418	99418	99418	99418
19	99419	99419	99419	99419	99419	99419	99419
20	99420	99420	99420	99420	99420	99420	99420
