ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	104661	104661	104661	104661	104661	104661	104661
2	104662	104662	104662	104662	104662	104662	104662
3	104663	104663	104663	104663	104663	104663	104663
4	104664	104664	104664	104664	104664	104664	104664
5	104665	104665	104665	104665	104665	104665	104665
6	104666	104666	104666	104666	104666	104666	104666
7	104667	104667	104667	104667	104667	104667	104667
8	104668	104668	104668	104668	104668	104668	104668
9	104669	104669	104669	104669	104669	104669	104669
10	104670	104670	104670	104670	104670	104670	104670
11	104671	104671	104671	104671	104671	104671	104671
12	104672	104672	104672	104672	104672	104672	104672
13	104673	104673	104673	104673	104673	104673	104673
14	104674	104674	104674	104674	104674	104674	104674
15	104675	104675	104675	104675	104675	104675	104675
16	104676	104676	104676	104676	104676	104676	104676
17	104677	104677	104677	104677	104677	104677	104677
18	104678	104678	104678	104678	104678	104678	104678
19	104679	104679	104679	104679	104679	104679	104679
20	104680	104680	104680	104680	104680	104680	104680
