ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	160241	160241	160241	160241	160241	160241	160241
2	160242	160242	160242	160242	160242	160242	160242
3	160243	160243	160243	160243	160243	160243	160243
4	160244	160244	160244	160244	160244	160244	160244
5	160245	160245	160245	160245	160245	160245	160245
6	160246	160246	160246	160246	160246	160246	160246
7	160247	160247	160247	160247	160247	160247	160247
8	160248	160248	160248	160248	160248	160248	160248
9	160249	160249	160249	160249	160249	160249	160249
10	160250	160250	160250	160250	160250	160250	160250
11	160251	160251	160251	160251	160251	160251	160251
12	160252	160252	160252	160252	160252	160252	160252
13	160253	160253	160253	160253	160253	160253	160253
14	160254	160254	160254	160254	160254	160254	160254
15	160255	160255	160255	160255	160255	160255	160255
16	160256	160256	160256	160256	160256	160256	160256
17	160257	160257	160257	160257	160257	160257	160257
18	160258	160258	160258	160258	160258	160258	160258
19	160259	160259	160259	160259	160259	160259	160259
20	160260	160260	160260	160260	160260	160260	160260
