ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	131581	131581	131581	131581	131581	131581	131581
2	131582	131582	131582	131582	131582	131582	131582
3	131583	131583	131583	131583	131583	131583	131583
4	131584	131584	131584	131584	131584	131584	131584
5	131585	131585	131585	131585	131585	131585	131585
6	131586	131586	131586	131586	131586	131586	131586
7	131587	131587	131587	131587	131587	131587	131587
8	131588	131588	131588	131588	131588	131588	131588
9	131589	131589	131589	131589	131589	131589	131589
10	131590	131590	131590	131590	131590	131590	131590
11	131591	131591	131591	131591	131591	131591	131591
12	131592	131592	131592	131592	131592	131592	131592
13	131593	131593	131593	131593	131593	131593	131593
14	131594	131594	131594	131594	131594	131594	131594
15	131595	131595	131595	131595	131595	131595	131595
16	131596	131596	131596	131596	131596	131596	131596
17	131597	131597	131597	131597	131597	131597	131597
18	131598	131598	131598	131598	131598	131598	131598
19	131599	131599	131599	131599	131599	131599	131599
20	131600	131600	131600	131600	131600	131600	131600
