ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	194601	194601	194601	194601	194601	194601	194601
2	194602	194602	194602	194602	194602	194602	194602
3	194603	194603	194603	194603	194603	194603	194603
4	194604	194604	194604	194604	194604	194604	194604
5	194605	194605	194605	194605	194605	194605	194605
6	194606	194606	194606	194606	194606	194606	194606
7	194607	194607	194607	194607	194607	194607	194607
8	194608	194608	194608	194608	194608	194608	194608
9	194609	194609	194609	194609	194609	194609	194609
10	194610	194610	194610	194610	194610	194610	194610
11	194611	194611	194611	194611	194611	194611	194611
12	194612	194612	194612	194612	194612	194612	194612
13	194613	194613	194613	194613	194613	194613	194613
14	194614	194614	194614	194614	194614	194614	194614
15	194615	194615	194615	194615	194615	194615	194615
16	194616	194616	194616	194616	194616	194616	194616
17	194617	194617	194617	194617	194617	194617	194617
18	194618	194618	194618	194618	194618	194618	194618
19	194619	194619	194619	194619	194619	194619	194619
20	194620	194620	194620	194620	194620	194620	194620
