ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	186001	186001	186001	186001	186001	186001	186001
2	186002	186002	186002	186002	186002	186002	186002
3	186003	186003	186003	186003	186003	186003	186003
4	186004	186004	186004	186004	186004	186004	186004
5	186005	186005	186005	186005	186005	186005	186005
6	186006	186006	186006	186006	186006	186006	186006
7	186007	186007	186007	186007	186007	186007	186007
8	186008	186008	186008	186008	186008	186008	186008
9	186009	186009	186009	186009	186009	186009	186009
10	186010	186010	186010	186010	186010	186010	186010
11	186011	186011	186011	186011	186011	186011	186011
12	186012	186012	186012	186012	186012	186012	186012
13	186013	186013	186013	186013	186013	186013	186013
14	186014	186014	186014	186014	186014	186014	186014
15	186015	186015	186015	186015	186015	186015	186015
16	186016	186016	186016	186016	186016	186016	186016
17	186017	186017	186017	186017	186017	186017	186017
18	186018	186018	186018	186018	186018	186018	186018
19	186019	186019	186019	186019	186019	186019	186019
20	186020	186020	186020	186020	186020	186020	186020
