ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	7141	7141	7141	7141	7141	7141	7141
2	7142	7142	7142	7142	7142	7142	7142
3	7143	7143	7143	7143	7143	7143	7143
4	7144	7144	7144	7144	7144	7144	7144
5	7145	7145	7145	7145	7145	7145	7145
6	7146	7146	7146	7146	7146	7146	7146
7	7147	7147	7147	7147	7147	7147	7147
8	7148	7148	7148	7148	7148	7148	7148
9	7149	7149	7149	7149	7149	7149	7149
10	7150	7150	7150	7150	7150	7150	7150
11	7151	7151	7151	7151	7151	7151	7151
12	7152	7152	7152	7152	7152	7152	7152
13	7153	7153	7153	7153	7153	7153	7153
14	7154	7154	7154	7154	7154	7154	7154
15	7155	7155	7155	7155	7155	7155	7155
16	7156	7156	7156	7156	7156	7156	7156
17	7157	7157	7157	7157	7157	7157	7157
18	7158	7158	7158	7158	7158	7158	7158
19	7159	7159	7159	7159	7159	7159	7159
20	7160	7160	7160	7160	7160	7160	7160
