ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	72501	72501	72501	72501	72501	72501	72501
2	72502	72502	72502	72502	72502	72502	72502
3	72503	72503	72503	72503	72503	72503	72503
4	72504	72504	72504	72504	72504	72504	72504
5	72505	72505	72505	72505	72505	72505	72505
6	72506	72506	72506	72506	72506	72506	72506
7	72507	72507	72507	72507	72507	72507	72507
8	72508	72508	72508	72508	72508	72508	72508
9	72509	72509	72509	72509	72509	72509	72509
10	72510	72510	72510	72510	72510	72510	72510
11	72511	72511	72511	72511	72511	72511	72511
12	72512	72512	72512	72512	72512	72512	72512
13	72513	72513	72513	72513	72513	72513	72513
14	72514	72514	72514	72514	72514	72514	72514
15	72515	72515	72515	72515	72515	72515	72515
16	72516	72516	72516	72516	72516	72516	72516
17	72517	72517	72517	72517	72517	72517	72517
18	72518	72518	72518	72518	72518	72518	72518
19	72519	72519	72519	72519	72519	72519	72519
20	72520	72520	72520	72520	72520	72520	72520
