ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	153961	153961	153961	153961	153961	153961	153961
2	153962	153962	153962	153962	153962	153962	153962
3	153963	153963	153963	153963	153963	153963	153963
4	153964	153964	153964	153964	153964	153964	153964
5	153965	153965	153965	153965	153965	153965	153965
6	153966	153966	153966	153966	153966	153966	153966
7	153967	153967	153967	153967	153967	153967	153967
8	153968	153968	153968	153968	153968	153968	153968
9	153969	153969	153969	153969	153969	153969	153969
10	153970	153970	153970	153970	153970	153970	153970
11	153971	153971	153971	153971	153971	153971	153971
12	153972	153972	153972	153972	153972	153972	153972
13	153973	153973	153973	153973	153973	153973	153973
14	153974	153974	153974	153974	153974	153974	153974
15	153975	153975	153975	153975	153975	153975	153975
16	153976	153976	153976	153976	153976	153976	153976
17	153977	153977	153977	153977	153977	153977	153977
18	153978	153978	153978	153978	153978	153978	153978
19	153979	153979	153979	153979	153979	153979	153979
20	153980	153980	153980	153980	153980	153980	153980
