ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	144761	144761	144761	144761	144761	144761	144761
2	144762	144762	144762	144762	144762	144762	144762
3	144763	144763	144763	144763	144763	144763	144763
4	144764	144764	144764	144764	144764	144764	144764
5	144765	144765	144765	144765	144765	144765	144765
6	144766	144766	144766	144766	144766	144766	144766
7	144767	144767	144767	144767	144767	144767	144767
8	144768	144768	144768	144768	144768	144768	144768
9	144769	144769	144769	144769	144769	144769	144769
10	144770	144770	144770	144770	144770	144770	144770
11	144771	144771	144771	144771	144771	144771	144771
12	144772	144772	144772	144772	144772	144772	144772
13	144773	144773	144773	144773	144773	144773	144773
14	144774	144774	144774	144774	144774	144774	144774
15	144775	144775	144775	144775	144775	144775	144775
16	144776	144776	144776	144776	144776	144776	144776
17	144777	144777	144777	144777	144777	144777	144777
18	144778	144778	144778	144778	144778	144778	144778
19	144779	144779	144779	144779	144779	144779	144779
20	144780	144780	144780	144780	144780	144780	144780
