ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	16127	16261	15979	16013	16155	16127	16123
2	16127	16262	15980	16014	16155	16127	16123
3	16127	16262	15980	16015	16155	16127	16124
4	16127	16262	15980	16014	16155	16127	16123
5	16127	16262	15980	16015	16155	16127	16125
6	16127	16262	15980	16014	16155	16127	16123
7	16127	16262	15980	16014	16155	16127	16123
8	16127	16262	15980	16014	16155	16127	16123
9	16128	16262	15980	16015	16155	16127	16124
10	16127	16262	15980	16015	16155	16127	16124
11	16127	16262	15980	16016	16155	16128	16126
12	16127	16262	15981	16014	16155	16127	16127
13	16127	16262	15980	16015	16155	16127	16124
14	16127	16262	15980	16017	16155	16127	16123
15	16127	16262	15980	16015	16155	16127	16124
16	16127	16262	15980	16015	16155	16127	16124
17	16127	16263	15980	16015	16155	16127	16123
18	16127	16262	15980	16014	16155	16127	16123
19	16127	16262	15980	16015	16155	16127	16124
20	16127	16263	15980	16015	16155	16127	16123
