ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	27095	27310	26978	26863	27079	27109	27002
2	27095	27310	26978	26863	27080	27109	27003
3	27095	27311	26978	26864	27081	27109	27002
4	27095	27311	26978	26864	27080	27109	27002
5	27096	27312	26979	26865	27082	27110	27002
6	27097	27312	26979	26866	27080	27109	27002
7	27095	27310	26978	26863	27079	27109	27002
8	27096	27312	26979	26865	27082	27109	27002
9	27095	27310	26978	26863	27080	27109	27003
10	27096	27312	26979	26865	27082	27109	27002
11	27096	27312	26979	26865	27082	27109	27002
12	27097	27313	26978	26863	27080	27109	27002
13	27095	27311	26978	26864	27080	27109	27002
14	27098	27314	26979	26867	27080	27111	27002
15	27095	27310	26978	26863	27080	27109	27003
16	27096	27312	26979	26865	27082	27110	27002
17	27095	27310	26978	26863	27079	27109	27002
18	27095	27310	26978	26863	27080	27109	27003
19	27098	27314	26979	26867	27080	27111	27002
20	27095	27313	26980	26868	27080	27112	27002
