ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	12783	12907	12689	12739	12812	12742	12805
2	12784	12908	12690	12739	12813	12742	12806
3	12783	12908	12691	12739	12814	12742	12806
4	12783	12909	12689	12739	12812	12742	12805
5	12783	12907	12692	12739	12814	12742	12805
6	12783	12909	12689	12739	12812	12742	12805
7	12783	12907	12689	12739	12812	12742	12805
8	12783	12908	12690	12739	12813	12742	12806
9	12783	12908	12690	12739	12813	12742	12806
10	12783	12907	12689	12739	12812	12742	12805
11	12783	12907	12689	12739	12814	12742	12805
12	12783	12907	12689	12739	12814	12742	12805
13	12783	12908	12690	12739	12813	12742	12806
14	12783	12908	12690	12739	12813	12742	12806
15	12783	12907	12689	12739	12812	12742	12805
16	12783	12907	12689	12739	12814	12742	12805
17	12783	12907	12689	12739	12814	12742	12805
18	12783	12909	12689	12739	12812	12742	12805
19	12783	12907	12689	12739	12814	12742	12805
20	12783	12909	12689	12739	12812	12742	12805
