ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	1199	1223	1149	1218	1226	1169	1213
2	1199	1223	1150	1219	1227	1169	1213
3	1200	1223	1151	1220	1226	1169	1213
4	1199	1223	1149	1220	1227	1169	1213
5	1199	1223	1149	1220	1227	1169	1213
6	1199	1223	1149	1220	1227	1169	1213
7	1200	1224	1151	1221	1226	1169	1213
8	1199	1223	1149	1220	1227	1169	1213
9	1200	1223	1150	1219	1227	1169	1213
10	1199	1223	1149	1220	1227	1169	1213
11	1199	1223	1149	1220	1227	1169	1213
12	1200	1223	1150	1219	1227	1169	1213
13	1200	1223	1151	1220	1226	1169	1213
14	1200	1224	1151	1220	1226	1169	1213
15	1200	1223	1152	1220	1226	1169	1214
16	1199	1223	1149	1220	1227	1169	1213
17	1199	1223	1150	1219	1227	1169	1213
18	1199	1223	1149	1220	1227	1169	1213
19	1199	1223	1149	1220	1227	1169	1213
20	1200	1225	1151	1220	1226	1169	1213
