ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	8912	9033	8859	8855	8969	8909	8985
2	8912	9033	8859	8855	8969	8909	8985
3	8912	9033	8859	8855	8969	8909	8986
4	8913	9034	8859	8855	8970	8910	8986
5	8912	9033	8859	8855	8969	8909	8987
6	8913	9033	8859	8855	8969	8909	8986
7	8913	9033	8859	8855	8971	8909	8986
8	8912	9033	8859	8855	8969	8909	8985
9	8913	9033	8859	8855	8969	8909	8988
10	8913	9033	8859	8855	8971	8909	8986
11	8912	9033	8859	8855	8969	8909	8989
12	8912	9033	8859	8855	8969	8909	8986
13	8912	9033	8859	8855	8969	8909	8986
14	8912	9033	8859	8855	8969	8909	8986
15	8912	9033	8859	8855	8969	8909	8986
16	8913	9033	8859	8856	8971	8909	8986
17	8913	9033	8859	8855	8971	8909	8986
18	8913	9034	8859	8857	8970	8911	8986
19	8912	9033	8859	8855	8969	8909	8986
20	8913	9034	8860	8858	8969	8912	8990
