ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	6531	6620	6543	6537	6648	6527	6595
2	6531	6620	6543	6537	6648	6528	6595
3	6531	6620	6544	6537	6648	6528	6595
4	6531	6620	6543	6537	6648	6528	6595
5	6531	6620	6544	6537	6648	6528	6595
6	6531	6620	6544	6537	6648	6528	6595
7	6532	6620	6545	6537	6648	6528	6596
8	6531	6621	6546	6537	6648	6528	6596
9	6531	6621	6546	6537	6648	6528	6596
10	6531	6620	6543	6537	6648	6528	6595
11	6531	6620	6543	6537	6648	6528	6595
12	6531	6620	6543	6537	6648	6527	6595
13	6531	6620	6543	6537	6648	6528	6595
14	6531	6620	6544	6537	6648	6528	6595
15	6531	6620	6543	6537	6648	6528	6595
16	6531	6620	6544	6537	6648	6528	6595
17	6531	6620	6544	6537	6648	6528	6595
18	6531	6620	6544	6537	6648	6528	6595
19	6531	6621	6546	6537	6648	6528	6596
20	6531	6620	6544	6537	6648	6528	6595
