ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	6102	6171	6086	6089	6214	6074	6146
2	6103	6171	6086	6090	6215	6075	6146
3	6103	6172	6086	6089	6214	6075	6146
4	6103	6172	6086	6089	6214	6075	6146
5	6103	6172	6086	6089	6216	6075	6146
6	6103	6172	6086	6089	6214	6075	6146
7	6103	6172	6086	6091	6217	6075	6146
8	6103	6172	6086	6089	6214	6075	6146
9	6103	6171	6086	6090	6215	6075	6146
10	6103	6172	6086	6089	6216	6075	6146
11	6103	6171	6086	6090	6215	6075	6146
12	6103	6172	6086	6089	6214	6075	6146
13	6103	6172	6086	6091	6217	6075	6146
14	6103	6171	6086	6090	6215	6075	6146
15	6103	6171	6086	6090	6215	6075	6146
16	6103	6171	6086	6090	6215	6075	6146
17	6102	6171	6086	6089	6214	6074	6146
18	6103	6172	6086	6089	6214	6075	6146
19	6103	6172	6086	6089	6214	6075	6146
20	6103	6172	6087	6089	6214	6075	6146
