ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	16309	16469	16165	16204	16328	16303	16303
2	16310	16470	16166	16205	16329	16304	16303
3	16311	16469	16165	16204	16328	16303	16303
4	16311	16469	16165	16204	16328	16303	16303
5	16310	16470	16166	16205	16329	16304	16303
6	16312	16469	16165	16204	16328	16303	16303
7	16310	16470	16166	16205	16329	16304	16303
8	16309	16471	16165	16204	16328	16303	16303
9	16310	16472	16166	16206	16329	16304	16303
10	16311	16469	16165	16204	16328	16303	16303
11	16310	16470	16167	16206	16329	16305	16303
12	16309	16471	16165	16204	16328	16303	16303
13	16311	16469	16165	16204	16328	16303	16303
14	16310	16470	16166	16205	16329	16304	16303
15	16310	16470	16167	16206	16329	16305	16303
16	16310	16470	16166	16206	16329	16304	16303
17	16309	16471	16165	16204	16328	16303	16303
18	16309	16471	16168	16204	16328	16303	16303
19	16313	16469	16165	16204	16328	16303	16303
20	16311	16470	16166	16204	16328	16303	16303
