ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	27667	27839	27498	27393	27603	27626	27513
2	27667	27839	27498	27393	27603	27626	27513
3	27667	27839	27499	27394	27603	27627	27513
4	27667	27839	27498	27393	27603	27626	27513
5	27667	27840	27499	27395	27603	27627	27514
6	27667	27840	27499	27395	27603	27627	27514
7	27667	27840	27499	27395	27603	27627	27514
8	27667	27839	27498	27393	27603	27626	27513
9	27667	27839	27499	27396	27603	27627	27513
10	27667	27840	27499	27395	27603	27627	27514
11	27667	27840	27499	27395	27603	27627	27515
12	27667	27840	27500	27395	27603	27627	27514
13	27667	27839	27499	27396	27603	27627	27513
14	27667	27840	27500	27395	27603	27627	27514
15	27667	27839	27498	27393	27603	27626	27513
16	27667	27839	27498	27393	27603	27626	27513
17	27667	27840	27500	27395	27603	27627	27514
18	27667	27839	27499	27394	27603	27627	27513
19	27667	27839	27499	27394	27603	27627	27513
20	27667	27840	27499	27397	27603	27627	27513
