ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	8442	8570	8412	8409	8514	8452	8525
2	8442	8570	8412	8409	8515	8452	8525
3	8442	8570	8412	8409	8515	8452	8525
4	8442	8570	8412	8409	8515	8452	8525
5	8442	8570	8412	8409	8516	8452	8525
6	8442	8570	8412	8409	8515	8452	8525
7	8442	8570	8412	8409	8517	8452	8526
8	8442	8570	8412	8409	8515	8452	8526
9	8442	8570	8412	8409	8515	8452	8525
10	8442	8570	8412	8409	8515	8452	8525
11	8442	8571	8412	8409	8515	8452	8525
12	8442	8570	8412	8409	8515	8452	8525
13	8442	8570	8412	8409	8515	8452	8525
14	8442	8570	8412	8409	8517	8452	8526
15	8442	8570	8412	8410	8516	8452	8525
16	8442	8570	8412	8409	8515	8452	8525
17	8442	8570	8412	8409	8515	8452	8525
18	8442	8570	8412	8409	8516	8452	8525
19	8442	8570	8412	8409	8515	8452	8525
20	8442	8570	8412	8409	8515	8452	8525
