ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	22302	22495	22138	22137	22365	22290	22261
2	22302	22496	22138	22138	22366	22290	22262
3	22302	22497	22138	22137	22365	22290	22263
4	22302	22497	22138	22137	22365	22290	22263
5	22302	22497	22138	22137	22365	22290	22263
6	22302	22496	22139	22137	22366	22290	22262
7	22302	22497	22138	22137	22365	22290	22263
8	22302	22495	22138	22137	22365	22291	22261
9	22302	22495	22138	22137	22365	22290	22261
10	22302	22497	22138	22137	22365	22290	22263
11	22302	22495	22138	22137	22365	22290	22261
12	22302	22497	22138	22137	22365	22290	22263
13	22302	22495	22138	22137	22365	22290	22261
14	22302	22497	22138	22137	22366	22292	22263
15	22302	22497	22138	22137	22365	22290	22263
16	22302	22497	22138	22137	22365	22290	22263
17	22302	22497	22138	22137	22365	22290	22263
18	22302	22497	22138	22137	22365	22290	22263
19	22302	22495	22138	22137	22365	22290	22261
20	22302	22495	22138	22137	22365	22290	22261
