ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	6755	6851	6771	6753	6866	6758	6832
2	6756	6851	6771	6753	6866	6758	6833
3	6756	6851	6771	6753	6866	6758	6833
4	6756	6851	6771	6753	6866	6758	6833
5	6756	6851	6771	6753	6867	6759	6833
6	6757	6852	6772	6754	6868	6759	6832
7	6756	6851	6771	6753	6866	6758	6833
8	6755	6851	6771	6753	6866	6758	6832
9	6757	6852	6772	6755	6867	6759	6832
10	6757	6852	6772	6754	6867	6759	6832
11	6757	6852	6772	6754	6868	6759	6832
12	6757	6852	6773	6754	6869	6759	6832
13	6756	6851	6771	6753	6866	6758	6833
14	6757	6852	6772	6754	6868	6759	6832
15	6756	6851	6771	6753	6866	6758	6833
16	6756	6851	6771	6753	6866	6758	6833
17	6757	6852	6772	6755	6867	6759	6832
18	6757	6852	6772	6754	6868	6759	6832
19	6757	6852	6774	6756	6870	6759	6832
20	6757	6852	6772	6754	6867	6759	6832
