ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	18736	18894	18534	18553	18726	18659	18643
2	18737	18895	18535	18554	18727	18660	18643
3	18737	18896	18534	18553	18726	18659	18643
4	18737	18895	18535	18554	18727	18660	18643
5	18736	18894	18534	18553	18726	18659	18643
6	18737	18897	18535	18554	18727	18660	18643
7	18737	18897	18535	18554	18728	18660	18643
8	18737	18895	18536	18554	18727	18660	18643
9	18737	18897	18535	18554	18728	18660	18643
10	18737	18898	18537	18555	18727	18661	18643
11	18737	18897	18537	18555	18728	18660	18643
12	18737	18898	18537	18555	18728	18660	18643
13	18736	18894	18534	18553	18726	18659	18643
14	18736	18894	18534	18553	18726	18659	18643
15	18736	18894	18534	18553	18726	18659	18643
16	18736	18894	18534	18553	18726	18659	18643
17	18737	18898	18537	18555	18728	18660	18643
18	18737	18897	18535	18554	18727	18660	18643
19	18736	18894	18534	18553	18726	18659	18643
20	18737	18895	18535	18554	18727	18660	18643
