ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	6606	6713	6633	6620	6725	6619	6689
2	6606	6713	6633	6620	6725	6619	6689
3	6607	6713	6634	6620	6726	6620	6690
4	6606	6713	6633	6620	6725	6619	6691
5	6607	6713	6634	6620	6727	6621	6690
6	6606	6713	6633	6621	6728	6619	6689
7	6606	6713	6633	6621	6728	6619	6689
8	6608	6713	6635	6620	6726	6622	6690
9	6607	6713	6634	6620	6727	6621	6690
10	6607	6714	6634	6620	6727	6621	6690
11	6606	6713	6633	6622	6728	6619	6689
12	6606	6713	6633	6621	6728	6619	6689
13	6607	6713	6634	6620	6725	6620	6690
14	6606	6713	6634	6622	6726	6619	6690
15	6606	6713	6633	6622	6728	6619	6689
16	6606	6713	6634	6622	6726	6623	6690
17	6607	6713	6634	6620	6725	6620	6690
18	6606	6713	6633	6622	6728	6619	6689
19	6607	6713	6634	6620	6726	6621	6690
20	6607	6713	6634	6620	6725	6620	6690
