ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	4400	4418	4313	4368	4466	4370	4474
2	4400	4418	4313	4368	4467	4370	4474
3	4400	4419	4314	4369	4467	4371	4475
4	4400	4420	4314	4370	4468	4371	4475
5	4400	4418	4313	4368	4466	4370	4474
6	4401	4421	4315	4371	4469	4372	4476
7	4400	4418	4313	4368	4467	4370	4474
8	4400	4419	4314	4370	4468	4371	4477
9	4402	4419	4314	4370	4468	4371	4475
10	4400	4418	4313	4368	4466	4370	4474
11	4400	4418	4313	4368	4467	4370	4474
12	4400	4419	4314	4370	4468	4371	4475
13	4400	4419	4314	4370	4468	4371	4475
14	4401	4421	4315	4371	4469	4372	4476
15	4400	4419	4314	4370	4468	4371	4475
16	4400	4418	4313	4368	4467	4370	4474
17	4400	4419	4314	4370	4470	4371	4475
18	4400	4418	4313	4368	4467	4370	4474
19	4400	4418	4313	4368	4467	4370	4474
20	4400	4419	4314	4370	4468	4371	4475
