ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	7868	7960	7838	7854	7940	7881	7947
2	7868	7960	7839	7854	7940	7881	7947
3	7868	7960	7840	7854	7940	7881	7947
4	7868	7961	7840	7855	7941	7882	7948
5	7869	7960	7841	7856	7942	7881	7947
6	7868	7960	7840	7854	7940	7881	7947
7	7868	7960	7840	7854	7940	7881	7947
8	7869	7960	7841	7856	7942	7881	7947
9	7868	7961	7842	7857	7942	7881	7948
10	7868	7960	7840	7854	7943	7881	7949
11	7868	7960	7840	7854	7940	7881	7947
12	7868	7960	7840	7854	7943	7881	7949
13	7868	7960	7840	7854	7944	7881	7947
14	7868	7960	7840	7854	7944	7881	7947
15	7869	7960	7843	7856	7945	7881	7947
16	7868	7960	7840	7854	7940	7881	7947
17	7868	7960	7840	7854	7940	7881	7947
18	7868	7960	7840	7854	7946	7881	7947
19	7868	7960	7838	7854	7940	7881	7947
20	7868	7960	7840	7854	7940	7881	7947
