ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	17486	17632	17272	17324	17450	17420	17415
2	17487	17632	17272	17325	17450	17421	17415
3	17486	17632	17272	17326	17451	17422	17416
4	17486	17632	17272	17324	17450	17420	17415
5	17487	17632	17273	17325	17450	17421	17415
6	17486	17632	17272	17324	17450	17420	17415
7	17487	17632	17272	17325	17450	17421	17415
8	17486	17633	17274	17325	17450	17421	17415
9	17487	17632	17272	17325	17450	17421	17415
10	17487	17632	17272	17325	17450	17421	17415
11	17487	17632	17272	17325	17450	17421	17415
12	17486	17632	17272	17325	17451	17421	17415
13	17487	17632	17272	17325	17450	17421	17415
14	17486	17632	17274	17325	17450	17423	17417
15	17487	17632	17272	17325	17450	17421	17415
16	17487	17634	17272	17325	17452	17421	17415
17	17486	17633	17274	17325	17450	17421	17415
18	17486	17633	17274	17325	17450	17423	17418
19	17487	17632	17272	17325	17450	17421	17415
20	17487	17632	17272	17325	17450	17421	17415
