ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	17074	17209	16900	16925	17025	17031	17039
2	17074	17209	16901	16925	17025	17032	17039
3	17074	17209	16901	16925	17026	17032	17039
4	17074	17209	16901	16925	17025	17032	17039
5	17075	17209	16901	16925	17025	17032	17039
6	17074	17209	16901	16925	17025	17032	17039
7	17076	17209	16901	16926	17025	17032	17039
8	17074	17209	16900	16925	17025	17031	17039
9	17076	17209	16901	16926	17025	17032	17039
10	17074	17209	16900	16925	17025	17031	17039
11	17074	17209	16901	16925	17026	17032	17039
12	17074	17209	16901	16925	17025	17032	17039
13	17074	17209	16902	16925	17025	17032	17039
14	17076	17209	16901	16926	17025	17032	17039
15	17076	17210	16903	16927	17027	17033	17040
16	17074	17209	16902	16925	17025	17032	17039
17	17075	17211	16904	16926	17025	17032	17039
18	17076	17209	16901	16926	17025	17032	17039
19	17076	17210	16903	16927	17027	17033	17040
20	17076	17209	16901	16926	17025	17032	17039
