ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	8976	9103	8933	8940	9046	8981	9060
2	8976	9104	8933	8940	9047	8982	9061
3	8977	9103	8933	8941	9047	8982	9061
4	8978	9104	8933	8940	9047	8982	9061
5	8976	9103	8933	8940	9046	8981	9060
6	8977	9103	8933	8940	9047	8982	9061
7	8976	9104	8933	8940	9047	8982	9061
8	8977	9103	8933	8940	9047	8982	9061
9	8977	9103	8933	8940	9047	8982	9061
10	8977	9103	8933	8940	9047	8982	9061
11	8976	9103	8933	8940	9046	8981	9060
12	8976	9105	8933	8940	9047	8982	9061
13	8978	9104	8933	8940	9047	8982	9061
14	8977	9103	8933	8941	9047	8982	9061
15	8976	9104	8933	8940	9047	8982	9061
16	8976	9104	8933	8940	9047	8982	9061
17	8977	9103	8933	8940	9047	8982	9061
18	8976	9103	8933	8940	9046	8981	9060
19	8977	9103	8933	8940	9047	8982	9061
20	8976	9103	8933	8940	9046	8981	9060
