ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	17044	17182	16862	16891	16993	17002	17006
2	17044	17183	16862	16891	16993	17002	17007
3	17044	17183	16862	16891	16993	17002	17007
4	17044	17183	16863	16891	16993	17003	17008
5	17044	17184	16862	16892	16993	17004	17009
6	17044	17183	16862	16892	16993	17004	17009
7	17044	17183	16862	16892	16993	17004	17009
8	17044	17183	16863	16891	16993	17003	17008
9	17044	17183	16862	16892	16993	17004	17009
10	17044	17183	16862	16892	16993	17004	17009
11	17044	17183	16864	16891	16993	17003	17010
12	17044	17183	16862	16892	16993	17004	17009
13	17044	17183	16862	16892	16993	17004	17009
14	17044	17183	16862	16891	16993	17002	17007
15	17044	17183	16864	16891	16993	17003	17010
16	17044	17183	16862	16892	16993	17004	17009
17	17044	17183	16863	16891	16993	17002	17008
18	17044	17183	16863	16891	16993	17003	17008
19	17044	17183	16862	16892	16993	17004	17009
20	17044	17183	16863	16891	16993	17003	17008
