ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	26506	26694	26384	26270	26500	26519	26419
2	26507	26695	26385	26271	26501	26520	26420
3	26506	26694	26384	26270	26500	26519	26419
4	26507	26695	26385	26271	26501	26520	26420
5	26508	26696	26386	26272	26500	26519	26419
6	26507	26695	26385	26271	26501	26520	26420
7	26509	26696	26387	26273	26502	26519	26419
8	26508	26696	26388	26273	26500	26519	26419
9	26507	26695	26385	26271	26501	26520	26421
10	26508	26696	26384	26273	26500	26519	26419
11	26507	26695	26385	26271	26501	26520	26420
12	26510	26696	26384	26272	26503	26519	26419
13	26508	26696	26388	26273	26500	26519	26419
14	26508	26696	26384	26273	26500	26519	26419
15	26508	26696	26384	26273	26500	26519	26419
16	26507	26695	26385	26271	26501	26520	26420
17	26506	26694	26384	26271	26504	26519	26419
18	26507	26695	26385	26271	26501	26520	26420
19	26508	26696	26384	26273	26500	26519	26419
20	26508	26696	26384	26273	26500	26519	26419
