ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	3013	3045	2898	3024	3068	3008	3064
2	3014	3045	2899	3025	3069	3008	3064
3	3013	3045	2900	3024	3069	3009	3064
4	3013	3045	2898	3024	3068	3008	3064
5	3015	3045	2900	3024	3069	3010	3064
6	3013	3045	2898	3024	3068	3008	3064
7	3016	3045	2900	3024	3069	3010	3064
8	3013	3046	2900	3026	3069	3009	3064
9	3016	3045	2901	3024	3069	3010	3064
10	3013	3045	2898	3024	3068	3008	3064
11	3016	3045	2900	3024	3069	3010	3064
12	3013	3045	2898	3024	3068	3008	3064
13	3013	3045	2898	3024	3068	3008	3064
14	3016	3045	2900	3024	3069	3010	3064
15	3015	3045	2900	3024	3069	3010	3064
16	3013	3045	2898	3024	3068	3008	3064
17	3016	3045	2900	3024	3069	3010	3064
18	3013	3045	2898	3024	3068	3008	3064
19	3013	3045	2898	3024	3068	3008	3064
20	3016	3045	2900	3024	3069	3010	3064
