ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	8812	8933	8781	8763	8900	8820	8904
2	8813	8934	8781	8764	8900	8821	8904
3	8812	8935	8781	8764	8900	8822	8904
4	8813	8936	8781	8765	8900	8823	8905
5	8812	8935	8781	8764	8900	8822	8904
6	8812	8935	8781	8764	8900	8822	8904
7	8813	8936	8782	8765	8900	8822	8905
8	8813	8936	8782	8765	8900	8822	8905
9	8814	8934	8781	8764	8900	8822	8904
10	8815	8933	8781	8764	8900	8822	8905
11	8812	8933	8781	8763	8900	8820	8904
12	8814	8934	8781	8764	8900	8821	8904
13	8812	8937	8781	8766	8900	8824	8904
14	8812	8933	8781	8763	8900	8820	8906
15	8812	8933	8781	8763	8900	8820	8904
16	8814	8934	8781	8764	8900	8821	8904
17	8813	8933	8781	8764	8900	8822	8905
18	8812	8935	8781	8764	8900	8822	8904
19	8812	8937	8781	8766	8900	8824	8904
20	8812	8935	8781	8764	8900	8822	8904
