ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	3558	3610	3448	3565	3652	3579	3624
2	3559	3610	3448	3565	3653	3580	3625
3	3558	3611	3449	3565	3654	3579	3624
4	3560	3610	3448	3565	3652	3579	3624
5	3558	3611	3449	3565	3654	3579	3624
6	3558	3610	3448	3565	3652	3579	3624
7	3558	3610	3448	3565	3652	3579	3624
8	3558	3611	3449	3565	3654	3579	3624
9	3558	3611	3449	3565	3654	3579	3624
10	3558	3611	3449	3565	3654	3579	3624
11	3558	3611	3449	3565	3654	3579	3624
12	3558	3611	3449	3565	3654	3579	3624
13	3558	3610	3448	3566	3652	3579	3624
14	3558	3611	3449	3565	3654	3579	3624
15	3561	3610	3448	3565	3653	3580	3625
16	3558	3611	3449	3565	3654	3579	3624
17	3560	3610	3448	3565	3652	3579	3624
18	3561	3610	3448	3565	3653	3580	3625
19	3558	3611	3449	3565	3654	3579	3624
20	3560	3610	3448	3565	3652	3579	3624
