ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	21263	21470	21146	21128	21355	21271	21264
2	21263	21470	21146	21129	21355	21272	21265
3	21263	21471	21147	21128	21355	21271	21265
4	21264	21470	21146	21130	21355	21272	21265
5	21263	21470	21146	21129	21355	21272	21265
6	21264	21470	21146	21130	21355	21272	21265
7	21265	21470	21146	21128	21355	21271	21265
8	21263	21470	21146	21129	21355	21272	21265
9	21263	21470	21146	21128	21355	21271	21264
10	21263	21471	21147	21128	21355	21273	21265
11	21263	21470	21146	21130	21355	21272	21265
12	21263	21470	21146	21129	21355	21272	21265
13	21265	21470	21146	21128	21355	21271	21265
14	21263	21470	21146	21130	21355	21272	21265
15	21263	21470	21146	21129	21355	21272	21265
16	21263	21470	21146	21130	21355	21272	21265
17	21263	21470	21146	21128	21355	21274	21265
18	21263	21471	21147	21128	21355	21273	21265
19	21263	21471	21147	21128	21355	21273	21265
20	21263	21470	21146	21129	21355	21272	21265
