ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	46	45	27	50	50	37	39
2	46	46	28	50	51	38	39
3	46	45	27	50	50	37	39
4	46	46	28	50	51	38	40
5	46	45	27	50	50	37	39
6	46	45	27	50	50	37	39
7	46	46	28	50	51	38	39
8	46	47	29	50	50	39	41
9	46	45	27	50	50	37	39
10	46	46	28	50	51	38	39
11	46	45	27	50	50	37	39
12	47	47	29	50	50	39	42
13	46	45	27	50	50	37	39
14	46	45	27	50	50	37	39
15	46	45	27	50	50	37	39
16	46	45	27	50	50	37	39
17	46	45	27	50	50	37	39
18	46	45	27	50	50	37	39
19	46	45	30	50	50	37	39
20	46	47	29	50	50	39	41
