ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	19790	20000	19602	19638	19851	19742	19714
2	19790	20001	19603	19638	19851	19742	19714
3	19791	20000	19604	19638	19851	19743	19715
4	19790	20000	19602	19638	19851	19742	19714
5	19791	20000	19604	19638	19851	19743	19715
6	19791	20000	19604	19638	19851	19743	19715
7	19791	20000	19604	19638	19851	19743	19715
8	19790	20000	19602	19638	19852	19742	19714
9	19790	20000	19602	19638	19851	19742	19714
10	19791	20000	19604	19638	19851	19742	19714
11	19790	20000	19602	19638	19851	19742	19714
12	19790	20000	19602	19638	19851	19742	19714
13	19791	20000	19604	19638	19851	19743	19715
14	19790	20000	19602	19638	19852	19742	19714
15	19791	20000	19604	19638	19851	19742	19714
16	19791	20000	19604	19638	19851	19743	19715
17	19790	20000	19602	19638	19852	19742	19714
18	19790	20000	19602	19638	19852	19742	19714
19	19790	20000	19602	19638	19851	19742	19714
20	19790	20000	19602	19638	19852	19742	19714
