ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	15405	15544	15267	15309	15435	15374	15419
2	15405	15544	15267	15309	15435	15374	15419
3	15406	15544	15268	15310	15436	15374	15420
4	15406	15544	15268	15310	15436	15374	15420
5	15406	15544	15267	15309	15435	15374	15419
6	15406	15544	15268	15310	15436	15375	15420
7	15406	15545	15267	15309	15437	15376	15419
8	15406	15544	15267	15309	15435	15374	15419
9	15406	15544	15268	15310	15436	15374	15420
10	15406	15544	15268	15310	15438	15374	15421
11	15406	15544	15267	15309	15435	15374	15419
12	15406	15544	15268	15310	15436	15374	15420
13	15406	15544	15269	15309	15435	15374	15419
14	15406	15544	15268	15310	15436	15374	15420
15	15406	15546	15268	15310	15436	15377	15420
16	15406	15544	15269	15309	15435	15374	15419
17	15406	15546	15268	15310	15436	15377	15420
18	15406	15544	15269	15309	15435	15374	15419
19	15407	15544	15268	15310	15439	15374	15419
20	15406	15544	15269	15309	15435	15374	15419
