ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	1913	1952	1854	1924	1946	1879	1918
2	1914	1953	1854	1924	1946	1880	1919
3	1913	1952	1854	1924	1946	1880	1918
4	1915	1952	1854	1924	1946	1880	1918
5	1916	1954	1854	1924	1946	1880	1919
6	1917	1953	1854	1925	1946	1880	1919
7	1918	1953	1854	1924	1946	1880	1919
8	1913	1952	1854	1924	1946	1880	1918
9	1918	1953	1854	1924	1946	1880	1919
10	1917	1953	1854	1925	1946	1880	1919
11	1918	1953	1854	1924	1947	1880	1919
12	1918	1953	1854	1924	1946	1880	1919
13	1913	1952	1854	1924	1946	1879	1918
14	1916	1954	1854	1924	1946	1880	1919
15	1913	1953	1854	1924	1946	1880	1919
16	1915	1952	1854	1924	1946	1880	1918
17	1918	1952	1855	1926	1946	1880	1920
18	1918	1952	1855	1926	1946	1880	1921
19	1913	1952	1854	1924	1946	1880	1922
20	1914	1953	1854	1924	1946	1880	1919
