ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	25795	26021	25693	25584	25820	25828	25731
2	25796	26021	25694	25584	25820	25828	25732
3	25796	26021	25694	25584	25821	25828	25731
4	25795	26021	25693	25584	25820	25828	25731
5	25795	26021	25693	25584	25820	25828	25731
6	25796	26021	25694	25584	25821	25828	25731
7	25796	26021	25694	25584	25821	25828	25731
8	25795	26021	25693	25584	25820	25828	25731
9	25795	26021	25693	25584	25820	25828	25732
10	25795	26021	25693	25584	25820	25828	25732
11	25797	26022	25693	25584	25820	25828	25731
12	25795	26021	25693	25584	25820	25828	25731
13	25797	26022	25693	25584	25820	25828	25731
14	25795	26021	25693	25584	25820	25828	25731
15	25796	26021	25694	25584	25821	25828	25731
16	25797	26022	25693	25584	25820	25828	25731
17	25795	26021	25693	25584	25820	25828	25731
18	25795	26021	25693	25584	25820	25828	25732
19	25796	26021	25694	25584	25821	25828	25731
20	25796	26021	25694	25584	25821	25828	25731
