ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	24277	24545	24202	24110	24324	24306	24264
2	24278	24546	24202	24110	24324	24306	24264
3	24277	24545	24202	24110	24324	24306	24264
4	24277	24545	24203	24111	24324	24307	24264
5	24278	24546	24202	24110	24324	24306	24264
6	24277	24545	24202	24110	24324	24306	24264
7	24278	24546	24202	24110	24324	24306	24264
8	24277	24545	24202	24112	24324	24306	24264
9	24277	24545	24203	24111	24324	24307	24264
10	24278	24546	24202	24110	24324	24308	24264
11	24278	24546	24202	24110	24324	24306	24264
12	24277	24545	24202	24110	24324	24306	24264
13	24277	24545	24202	24110	24324	24306	24264
14	24277	24545	24202	24110	24324	24306	24264
15	24278	24546	24202	24110	24324	24306	24264
16	24277	24545	24202	24112	24324	24306	24264
17	24277	24545	24202	24110	24324	24306	24264
18	24277	24545	24202	24110	24324	24306	24264
19	24278	24546	24202	24110	24324	24306	24264
20	24277	24545	24202	24113	24324	24309	24264
