ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	14750	14893	14661	14662	14798	14717	14764
2	14751	14894	14662	14663	14799	14718	14765
3	14752	14895	14663	14663	14800	14718	14764
4	14753	14893	14661	14662	14801	14717	14764
5	14751	14894	14662	14663	14799	14718	14764
6	14752	14894	14664	14663	14800	14718	14764
7	14752	14895	14663	14663	14800	14718	14764
8	14750	14893	14661	14662	14798	14717	14764
9	14751	14894	14662	14663	14799	14718	14765
10	14752	14894	14663	14663	14800	14718	14764
11	14751	14894	14662	14663	14799	14718	14764
12	14750	14893	14661	14662	14798	14717	14764
13	14753	14893	14661	14662	14801	14717	14764
14	14752	14894	14663	14663	14800	14718	14764
15	14750	14893	14661	14662	14798	14717	14764
16	14752	14894	14663	14663	14800	14718	14764
17	14752	14895	14663	14664	14800	14718	14764
18	14750	14893	14661	14662	14798	14717	14764
19	14750	14893	14661	14662	14798	14717	14764
20	14751	14894	14662	14663	14799	14718	14764
