ST	gene_1	gene_2	gene_3	gene_4	gene_5	gene_6	gene_7
1	20661	20886	20555	20548	20782	20646	20654
2	20661	20887	20555	20548	20782	20646	20654
3	20661	20887	20555	20548	20782	20647	20654
4	20661	20887	20555	20548	20782	20647	20654
5	20662	20888	20556	20548	20783	20646	20654
6	20663	20887	20557	20548	20782	20646	20655
7	20663	20887	20557	20548	20782	20646	20655
8	20663	20887	20557	20548	20782	20646	20655
9	20661	20887	20555	20548	20782	20646	20654
10	20661	20887	20555	20548	20782	20648	20654
11	20661	20887	20555	20548	20782	20647	20654
12	20661	20887	20555	20548	20782	20647	20654
13	20661	20887	20558	20548	20782	20649	20654
14	20661	20887	20555	20548	20782	20646	20654
15	20663	20887	20557	20548	20782	20646	20656
16	20661	20887	20555	20548	20782	20646	20654
17	20661	20887	20555	20548	20782	20646	20654
18	20661	20887	20555	20548	20782	20647	20654
19	20661	20887	20555	20548	20784	20647	20654
20	20661	20887	20555	20548	20782	20646	20654
